train_000000 270
train_001854 hereby
train_001855 ordered
train_001856 as
train_001857 soon
train_001858 as
train_001859 the
train_001860 clothes
train_001861 and
train_001862 arms
train_001863 arrive
train_001864 to
train_001865 furnish
train_001866 all
train_001867 the
train_001868 men
train_001869 who
train_001870 now
train_001871 rendezvous
train_001872 at
train_001873 fredericksburgh
train_001874 with
train_001875 both
train_001876 and
train_001877 march
train_001878 them
train_001879 immediately
train_001880 with
train_001881 the
train_001882 utmost
train_001883 dispatch
train_001884 to
train_001885 fort
train_001886 cumberland
train_001887 to
train_001888 reinforce
train_001889 the
train_001890 garrison
train_001891 when
train_001892 you
train_001893 arrive
train_001894 at
train_001895 winchester
train_001896 you
train_001897 must
train_001898 provide
train_001899 your
train_001900 men
train_001901 with
train_001902 car
train_001903 tridges
train_001904 you
train_001905 are
train_001906 to
train_001907 be
train_001908 very
train_001909 careful
train_001910 and
train_001911 circum
train_001912 spect
train_001913 in
train_001914 your
train_001915 march
train_001916 and
train_001917 see
train_001918 that
train_001919 your
train_001920 men
train_001921 do
train_001922 not
train_001923 on
train_001924 any
train_001925 account
train_001926 whatsoever
train_001927 plunder
train_001928 or
train_001929 pillage
train_001930 the
train_001931 houses
train_001932 which
train_001933 the
train_001934 people
train_001935 have
train_001936 deserted
train_001937 or
train_001938 any
train_001939 others
train_001940 or
train_001941 plantations
train_001942 lieutenant
train_001943 fra
train_001944 zier
train_001945 and
train_001946 ensign
train_001947 carter
train_001948 are
train_001949 appointed
train_001950 to
train_001951 this
train_001952 com
train_001953 mand
train_001954 given
train_001955 c
train_001956 gw
train_001957 278
train_001958 letters
train_001959 orders
train_001960 and
train_001961 instructions
train_001962 october
train_001963 1755
train_001964 1st
train_001965 to
train_001966 captain
train_001967 john
train_001968 mercer
train_001969 of
train_001970 the
train_001971 virginia
train_001972 regiment
train_001973 you
train_001974 are
train_001975 hereby
train_001976 ordered
train_001977 to
train_001978 ren
train_001979 dezvous
train_001980 at
train_001981 alexandria
train_001982 the
train_001983 first
train_001984 day
train_001985 of
train_001986 december
train_001987 with
train_001988 all
train_001989 the
train_001990 men
train_001991 you
train_001992 can
train_001993 raise
train_001994 by
train_001995 that
train_001996 time
train_001997 given
train_001998 c
train_001999 at
train_002000 fredericksburg
train_002001 november
train_002002 1st
train_002003 1755
train_002004 gw
train_002005 aid
train_002006 de
train_002007 camp
train_002008 nb
train_002009 captain
train_002010 joshua
train_002011 lewis
train_002012 is
train_002013 allowed
train_002014 to
train_002015 the
train_002016 1st
train_002017 of
train_002018 december
train_002019 to
train_002020 rendezvous
train_002021 at
train_002022 alex
train_002023 andria
train_002024 1st
train_002025 to
train_002026 mr
train_002027 boyd
train_002028 paymaster
train_002029 as
train_002030 colonel
train_002031 stephen
train_002032 has
train_002033 brought
train_002034 1000
train_002035 which
train_002036 i
train_002037 wrote
train_002038 for
train_002039 to
train_002040 pay
train_002041 off
train_002042 the
train_002043 troops
train_002044 it
train_002045 will
train_002046 save
train_002047 you
train_002048 a
train_002049 journey
train_002050 to
train_002051 williams
train_002052 burg
train_002053 at
train_002054 this
train_002055 time
train_002056 but
train_002057 i
train_002058 think
train_002059 it
train_002060 absolutely
train_002061 necessary
train_002062 that
train_002063 you
train_002064 should
train_002065 after
train_002066 paying
train_002067 the
train_002068 troops
train_002069 in
train_002070 garrison
train_002071 go
train_002072 into
train_002073 augusta
train_002074 to
train_002075 pay
train_002076 off
train_002077 captain
train_002078 hoggs
train_002079 company
train_002080 which
train_002081 is
train_002082 now
train_002083 complete
train_002084 unless
train_002085 you
train_002086 can
train_002087 send
train_002088 the
train_002089 money
train_002090 by
train_002091 mr
train_002092 mcclenachan
train_002093 or
train_002094 some
train_002095 safe
train_002096 hand
train_002097 from
train_002098 hence
train_002099 the
train_002100 recruits
train_002101 at
train_002102 fort
train_002103 cumberland
train_002104 are
train_002105 all
train_002106 paid
train_002107 off
train_002108 to
train_002109 the
train_002110 1st
train_002111 of
train_002112 oc
train_002113 tober
train_002114 as
train_002115 private
train_002116 men
train_002117 there
train_002118 being
train_002119 no
train_002120 distinc
train_002121 tion
train_002122 made
train_002123 between
train_002124 them
train_002125 and
train_002126 sergeants
train_002127 none
train_002128 having
train_002129 yet
train_002130 been
train_002131 regularly
train_002132 appointed
train_002133 colonel
train_002134 stephen
train_002135 will
train_002136 give
train_002137 you
train_002138 an
train_002139 ac
train_002140 count
train_002141 of
train_002142 those
train_002143 he
train_002144 has
train_002145 paid
train_002146 and
train_002147 how
train_002148 if
train_002149 any
train_002150 have
train_002151 received
train_002152 sergeants
train_002153 pay
train_002154 it
train_002155 must
train_002156 be
train_002157 deducted
train_002158 next
train_002159 payment
train_002160 as
train_002161 also
train_002162 letters
train_002163 orders
train_002164 and
train_002165 instructions
train_002166 november
train_002167 1755
train_002168 279
train_002169 two
train_002170 pence
train_002171 per
train_002172 month
train_002173 from
train_002174 each
train_002175 non
train_002176 commissioned
train_002177 officer
train_002178 and
train_002179 soldier
train_002180 for
train_002181 purchasing
train_002182 medicines
train_002183 this
train_002184 is
train_002185 to
train_002186 be
train_002187 paid
train_002188 to
train_002189 the
train_002190 surgeon
train_002191 quarterly
train_002192 there
train_002193 is
train_002194 also
train_002195 six
train_002196 pence
train_002197 per
train_002198 month
train_002199 to
train_002200 be
train_002201 stopped
train_002202 from
train_002203 the
train_002204 drum
train_002205 mers
train_002206 to
train_002207 be
train_002208 paid
train_002209 to
train_002210 the
train_002211 drum
train_002212 major
train_002213 for
train_002214 teaching
train_002215 them
train_002216 and
train_002217 repairing
train_002218 the
train_002219 drums
train_002220 these
train_002221 deductions
train_002222 you
train_002223 are
train_002224 hereby
train_002225 ordered
train_002226 to
train_002227 make
train_002228 each
train_002229 pay
train_002230 day
train_002231 unless
train_002232 coun
train_002233 termanded
train_002234 by
train_002235 the
train_002236 governor
train_002237 or
train_002238 myself
train_002239 if
train_002240 any
train_002241 non
train_002242 commissioned
train_002243 officer
train_002244 or
train_002245 soldier
train_002246 should
train_002247 happen
train_002248 to
train_002249 die
train_002250 he
train_002251 is
train_002252 to
train_002253 be
train_002254 continued
train_002255 on
train_002256 the
train_002257 pay
train_002258 roll
train_002259 as
train_002260 an
train_002261 ef
train_002262 fective
train_002263 man
train_002264 for
train_002265 twenty
train_002266 eight
train_002267 days
train_002268 to
train_002269 pay
train_002270 for
train_002271 his
train_002272 coffin
train_002273 c
train_002274 i
train_002275 am
train_002276 c
train_002277 gw
train_002278 1st
train_002279 to
train_002280 commissary
train_002281 jones
train_002282 or
train_002283 to
train_002284 george
train_002285 conway
train_002286 you
train_002287 are
train_002288 hereby
train_002289 ordered
train_002290 to
train_002291 deliver
train_002292 to
train_002293 sergeant
train_002294 wilper
train_002295 taking
train_002296 his
train_002297 receipt
train_002298 for
train_002299 the
train_002300 same
train_002301 for
train_002302 the
train_002303 use
train_002304 of
train_002305 captain
train_002306 hoggs
train_002307 company
train_002308 eight
train_002309 regimental
train_002310 coats
train_002311 ten
train_002312 waistcoats
train_002313 ten
train_002314 pair
train_002315 of
train_002316 breeches
train_002317 nine
train_002318 hats
train_002319 eleven
train_002320 shirts
train_002321 as
train_002322 many
train_002323 pair
train_002324 of
train_002325 stockings
train_002326 and
train_002327 the
train_002328 same
train_002329 quantity
train_002330 of
train_002331 shoes
train_002332 you
train_002333 are
train_002334 also
train_002335 to
train_002336 deliver
train_002337 to
train_002338 the
train_002339 said
train_002340 wilper
train_002341 for
train_002342 the
train_002343 use
train_002344 of
train_002345 the
train_002346 said
train_002347 company
train_002348 twelve
train_002349 musquets
train_002350 twenty
train_002351 bayonets
train_002352 and
train_002353 ten
train_002354 cartouch
train_002355 box
train_002356 out
train_002357 of
train_002358 those
train_002359 arms
train_002360 now
train_002361 in
train_002362 store
train_002363 gw
train_002364 nb
train_002365 the
train_002366 bayonets
train_002367 must
train_002368 be
train_002369 delivered
train_002370 out
train_002371 of
train_002372 those
train_002373 loose
train_002374 ones
train_002375 in
train_002376 the
train_002377 store
train_002378 you
train_002379 are
train_002380 also
train_002381 ordered
train_002382 to
train_002383 de
train_002384 liver
train_002385 twenty
train_002386 blankets
train_002387 octo
train_002388 30th
train_002389 to
train_002390 sergeant
train_002391 david
train_002392 wilper
train_002393 of
train_002394 the
train_002395 virginia
train_002396 regiment
train_002397 you
train_002398 are
train_002399 hereby
train_002400 ordered
train_002401 so
train_002402 soon
train_002403 as
